"exp1_trt","outcome1","compl1","female","age","income","religion","Hindu","imp_rel","education","ideol","empl_status","employed","marital","married","job_worry","year"
-1,NA,0,1,43,4,31,1,2,6,5,6,0,1,1,NA,2001
-1,NA,0,0,45,3,31,1,1,1,10,4,0,1,1,NA,2001
-1,NA,0,0,39,3,31,1,1,1,5,3,1,1,1,NA,2001
3,NA,0,0,24,5,31,1,2,9,8,7,0,6,0,NA,2001
3,NA,0,0,54,4,31,1,1,7,5,1,1,1,1,NA,2001
4,NA,0,0,25,5,31,1,1,9,8,7,0,6,0,NA,2001
-1,NA,0,1,49,3,31,1,1,1,-1,6,0,1,1,NA,2001
4,NA,0,0,39,4,31,1,1,8,5,3,1,1,1,NA,2001
-1,NA,0,1,32,5,31,1,1,7,5,6,0,1,1,NA,2001
-1,NA,0,0,45,4,31,1,1,7,5,3,1,1,1,NA,2001
3,NA,0,0,42,5,31,1,3,7,10,3,1,1,1,NA,2001
2,NA,1,0,36,4,31,1,2,8,1,1,1,1,1,NA,2001
-1,NA,0,1,58,2,31,1,1,1,-1,3,1,1,1,NA,2001
2,NA,1,0,26,3,31,1,1,6,-1,3,1,1,1,NA,2001
-1,NA,0,0,32,2,31,1,1,1,-1,8,0,1,1,NA,2001
-1,NA,0,0,60,2,31,1,1,1,-1,3,1,1,1,NA,2001
