"support_war","strong_leader","compliance","female","age","income","religion","hindu","practicing_religion","education","political_ideology","employment","employed","marital_status","married","job_loss"
1,1,1,0,26,3,6,1,2,4,8,1,1,6,0,1
1,1,1,1,25,2,6,1,2,5,6,2,0,6,0,2
1,1,1,1,19,3,5,0,2,3,6,3,0,1,1,2
1,1,0,0,35,3,6,1,2,5,5,1,1,1,1,1
0,1,0,0,29,10,6,1,1,7,10,8,0,6,0,1
0,0,0,0,34,3,1,0,2,4,9,1,1,1,1,1
0,1,0,1,40,3,6,1,2,1,6,5,0,1,1,2
0,0,0,0,19,2,6,1,2,2,9,2,0,1,1,2
1,1,0,0,20,3,5,0,2,3,8,7,0,3,0,2
0,1,0,0,23,4,6,1,1,5,5,2,0,6,0,3
0,1,0,1,26,5,6,1,3,4,10,4,0,1,1,2
0,1,0,0,29,7,6,1,1,6,8,6,0,6,0,1
0,1,0,1,38,2,6,1,3,5,10,1,1,1,1,2
1,1,0,1,26,8,6,1,1,4,6,7,0,1,1,4
0,0,0,1,32,1,5,0,1,4,3,7,0,1,1,3
0,0,0,0,47,9,6,1,3,7,10,8,0,1,1,2
0,0,0,1,31,5,6,1,1,4,5,7,0,6,0,3
0,0,0,0,22,4,6,1,2,4,7,2,0,6,0,4
1,0,1,0,41,3,6,1,1,2,6,1,1,1,1,1
0,1,0,0,31,3,1,0,3,4,8,1,1,1,1,4
0,1,0,1,31,3,6,1,3,4,4,2,0,1,1,2
0,0,0,1,27,3,6,1,3,2,8,5,0,1,1,2
0,0,0,0,28,5,6,1,1,4,9,4,0,1,1,2
1,1,0,0,21,2,6,1,1,5,10,1,1,6,0,2
0,1,0,0,33,5,6,1,2,5,7,4,0,1,1,3
1,0,0,0,33,3,1,0,2,4,6,3,0,1,1,2
1,0,1,0,20,2,6,1,1,1,5,6,0,6,0,2
1,0,1,0,32,4,6,1,4,4,9,1,1,1,1,1
1,0,0,0,50,3,6,1,3,4,10,3,0,1,1,1
0,1,0,0,19,10,6,1,1,6,8,8,0,6,0,3
0,1,0,1,22,3,6,1,2,4,5,3,0,6,0,2
1,1,1,0,40,4,1,0,2,4,7,2,0,1,1,1
